date,New Zealand,Fiji,"UK, CI & IOM",France,Germany,Italy,Thailand,Malaysia,Singapore,China,Japan,Korea,India,Canada,Mexico,year,month
Jul-2017,92738.70806785766,1966.8642760115763,28600.60346874181,9453.637971797576,9918.917693004616,4899.536458165038,5964.04006274478,19569.947061677907,20373.612034671885,105625.54640674354,26217.807320742126,14162.832725832463,13810.348088554401,7268.233220673603,923.509749668518,2017,Jul
Aug-2017,81593.14383712539,2291.150142307392,26725.38519842253,7049.692745561206,9460.687664543138,5541.058498011108,5202.67324622417,31427.530259711853,25407.092655002587,82044.32417284131,37934.39666386485,14938.298927844195,16157.895772826283,6556.214253371922,683.820196319437,2017,Aug
Sep-2017,87437.33912319563,2509.6906174197893,29023.585033475483,7106.090287525695,11046.86853229441,4370.809502247947,5935.841291762536,22559.01678579586,23602.371312138916,68868.44843138741,23891.408714706926,18590.0397700449,16954.5110530747,6520.965789644115,648.571732591631,2017,Sep
Oct-2017,98597.00273941903,2396.89553349081,40958.7148517106,8191.742970342121,15036.994626282052,4638.697826579273,6196.6799233483,21353.519326304893,25054.608017724524,70778.9151654345,24596.37798926305,19696.84153109801,16968.610438565822,9291.49503864967,535.7766486626516,2017,Oct
Nov-2017,80740.13101491249,3235.8089702125935,52795.14897150787,8135.345428377632,13288.670825382873,4286.213189301213,4680.99598305264,26147.310393286512,31208.989784599456,71448.63597626283,28269.267909700437,19252.710888127654,19569.947061677907,12837.490489666956,683.820196319437,2017,Nov
Dec-2017,89086.96722565696,4525.902742650294,87669.97898379916,11082.116996022216,19499.450134222294,7261.183527928042,6760.655342993196,27952.03173615018,36552.656885734854,78632.27288398969,30243.181878457573,23052.49527798514,24025.35287687259,14994.696469808685,1275.9943869465783,2017,Dec
Jan-2018,62312.2341780155,2248.8519858340246,53711.60902843082,8896.71224489824,13641.155462660932,5428.263414082128,3877.331010058663,9679.228139655535,11004.570375821042,83404.91487273462,22114.886142825504,24342.589050422845,16461.032560885415,13041.93157928823,704.9692745561206,2018,Jan
Feb-2018,59055.27612956622,2523.7900029109114,60211.42573983826,9298.54473139523,17264.697533879393,4314.411960283458,4293.262882046774,21621.407650636218,22953.799579547285,160317.06272680737,29679.206458812678,18780.381474175054,19703.89122384357,15326.03202885006,669.7208108283146,2018,Feb
Mar-2018,81790.53523400112,2608.386315857646,63975.961665967945,8050.749115430897,15946.404990459447,3799.7843898574897,5956.990369999219,24631.62645299085,28297.46668068268,86351.68644037921,35326.0103480072,18519.542842589286,23193.489132896368,14903.05046411639,712.0189673016818,2018,Mar
Apr-2018,78420.78210162286,2671.833550567697,37314.023702255465,6929.8479688866655,9206.898725702935,2770.529249005554,9735.625681620026,20035.226782884947,20331.313878198518,77024.94293800174,18850.878401630664,15234.386023157766,21861.0972039853,9206.898725702935,662.6711180827533,2018,Apr
May-2018,75812.39578576521,2255.9016785795857,22241.780612245606,5216.772631715292,6619.6614880819725,2636.585086839891,6119.133303147127,23715.166396067896,26697.186427440287,63122.94884375504,18357.39990944138,14106.435183867972,26838.18028235151,6351.773163750647,408.8821792425499,2018,May
Jun-2018,79189.19861088903,2107.8581309228007,20289.01572172515,5385.965257608761,5759.598973123505,2678.8832433132584,5188.573860733048,28805.044558363086,33619.98470358139,54536.42307966149,16376.43624793868,13923.143172483382,20620.35128076653,5576.306961738914,422.98156473367237,2018,Jun
Jul-2018,93591.72089007057,1980.9636615026989,27641.845255345488,9777.923838093393,10849.477135418696,4913.63584365616,6231.9283870761055,21022.183767263516,21734.2027345652,108212.7836443645,27240.012768848497,15481.125269252409,16171.995158317406,7218.885371454675,824.8140512306611,2018,Jul
Aug-2018,87860.32068792931,2234.752600342902,27141.31707041064,7684.165092661714,9009.507328827221,6119.133303147127,5393.0149503543225,30877.654225558083,26182.55885701432,82523.70327953948,41290.05041075198,16806.467505417913,18921.375329086277,6387.0216274784525,345.43494453249906,2018,Aug
Sep-2018,89545.19725411844,2798.7280199877987,30532.219281025584,7895.65587502855,10842.427442673134,4399.008273230193,4680.99598305264,26929.826288043805,23983.05472039922,68833.19996765962,27091.969221191714,15093.39216824654,19238.61150263653,7761.711712862888,768.4165092661714,2018,Sep
Oct-2018,96651.28754164412,2291.150142307392,42876.231278503255,9869.569843785688,13422.614987548535,4702.145061289324,6817.052884957686,19866.034156991478,25061.657710470085,71427.48689802614,28635.851932469617,13605.906998933127,18723.98393221056,11145.564230732267,683.820196319437,2018,Oct
Nov-2018,82706.99529092407,3186.461120993665,48043.656060999616,9354.94227335972,13098.32912125272,4991.1824638573335,4652.797212070396,28219.920060481505,34931.227554255776,72548.38804457037,30722.560985155735,16968.610438565822,22756.408182671574,13753.950546589913,697.9195818105594,2018,Nov
Dec-2018,89446.50155568057,5266.120480934221,83080.62900643882,12167.769678838642,20352.4629564352,8163.544199359876,7134.28905850794,27409.205394741966,41015.112393675096,81311.15612730295,35177.96680035042,20162.12125230505,27677.093719073295,17701.778484104187,1459.2863983311695,2018,Dec
Jan-2019,65329.50267311569,2298.199835052953,52160.67662440736,9961.215849477983,13175.875741453894,5132.176318768557,3560.094836508409,8946.06009411717,12893.888031631444,100704.86087034183,21995.041366150963,20986.93530353571,17384.542310553934,13232.273283418383,888.2612859407119,2019,Jan
Feb-2019,65061.614348784366,2410.994918981932,60155.02819787377,10066.961240661401,18491.344071607044,4328.51134577458,4589.349977360345,20613.301588020964,22685.91125521596,145421.06195543654,31399.33148872961,21804.69966202081,22855.10388110943,16989.759516802507,775.4662020117327,2019,Feb
