country,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Total,latitude,longitude
New Zealand,75831.407827495,94706.31759639794,60936.16181647564,60701.97210926397,91935.07272772657,83098.31444227301,84885.9625406554,87735.27064506401,90131.81198219673,92216.10037638056,157203.74412761803,86892.18769910201,95510.36892449134,1161784.6928151401,-40.900557,174.885971
New Caledonia,682.2726803433219,2310.6717778217767,608.893238750333,0.0,39.03161786861109,132.7075007532777,70.25691216349996,62.450588589777745,1553.4583911707214,2256.027512805721,499.60470871822196,281.02764865399985,421.5414729809998,8917.944050620263,-20.904305,165.618042
Papua New Guinea,2632.292309059132,3989.0313461720534,3762.647962534109,5964.031210323775,4340.315906989554,5823.5173859967745,4043.675611188109,5612.7466495062745,3942.19340472972,5050.691352198275,4652.568849938442,2451.1856021487765,5417.588560163219,57682.486150948214,-6.314993,143.95555
Vanuatu,1431.6797434206549,4566.699290627497,2302.8654542480544,2170.157953494777,2857.114427982332,2825.889133687443,3567.4898731910534,3731.4226682392205,3700.1973739443315,2427.76663142761,3786.0669332552757,1779.8417748086658,2138.932659199888,37286.123917526806,-15.376706,166.959158
Fiji,14436.234184884497,26713.23926927743,25042.686024500876,28290.11663116932,34035.57078142887,28048.12060038393,30429.049290369207,31264.325912757482,26432.21162062343,24988.04175948482,31116.00576485676,14363.63537564888,15963.931708261936,331123.16892364743,-16.578193,179.414413
Samoa,1181.877389061544,2388.7350135589986,2677.568985786721,2903.952369424665,2466.798249296221,3106.9167823414427,2958.5966344407207,2451.1856021487765,1865.7113341196102,3216.2053123735536,5261.462088688775,1826.679716250999,2170.157953494777,34475.8474309868,-13.759029,-172.104629
Ireland,1602.6382296851714,3637.7467853545536,4043.675611188109,5690.809885243497,8017.094310212718,8571.343283946995,7618.971807952885,7088.141804939774,2880.5333987034983,2170.157953494777,9391.007259187829,1467.588831859777,2185.770600642221,64365.4797624118,53.41291,-8.24389
Austria,718.9624011398163,1077.2726531736662,882.1145638306107,1483.2014790072215,1951.5808934305546,843.0829459619996,1693.9722154977214,1615.908979760499,640.1185330452219,1608.1026561867768,4160.770464793943,889.9208874043329,1100.6916238948327,18665.700297127194,47.516231,14.550072
France,2498.02354359111,5643.971943801163,6877.371068449274,12997.528750247493,16588.437594159714,13059.979338837271,13559.584047555492,16174.702444752436,5683.003561669775,5878.161651012831,15534.583911707214,4441.798113447942,3551.8772260436094,122489.02319527534,46.227638,2.213749
Germany,2138.932659199888,4176.383111941386,4793.082674265442,8009.287986638996,11818.773890615437,7416.0073950361075,8758.695049716329,9874.999320758607,3942.19340472972,5745.454150259552,9375.394612040383,3099.1104587677205,2708.7942800816095,81857.10899405117,51.165691,10.451526
