year,inbound spend m,outbound spend m
2016-17,21866.03198890719,35162.02327311699
2017-18,23812.452155956642,38790.40247018307
2018-19,25353.514990136322,41482.80347075986
2019-20,19371.85069552764,30308.831907333883
2020-21,700.0344896342277,1126.452491688116
2021-22,4040.178912481127,7693.131881903246
2022-23,17338.719307707786,39567.13166576844
2023-24,25544.56166354103,55791.79458139269
